"","Date","Team","Acquired","Relinquished","Notes"
"16916",2016-12-23,"Mavericks","Dirk Nowitzki","","activated from IL"
"16917",2016-12-23,"Nets","","Trevor Booker","placed on IL"
"16918",2016-12-23,"Nets","Chris McCullough","","activated from IL"
"16919",2016-12-23,"Pelicans","","Terrence Jones","placed on IL with illness"
"16920",2016-12-23,"Pelicans","Reggie Williams","","activated from IL"
"16921",2016-12-23,"Spurs",""," Tony Parker","rest (DTD)"
"16922",2016-12-23,"Spurs","","Pau Gasol","placed on IL for rest"
"16923",2016-12-23,"Spurs","Nicolas Laprovittola","","activated from IL"
"16924",2016-12-23,"Warriors","","James McAdoo ","placed on IL"
"16925",2016-12-23,"Bucks","Michael Beasley","","activated from IL"
"16926",2016-12-23,"Lakers","Tarik Black","","activated from IL"
"16927",2016-12-23,"Bucks","","Michael Beasley","sprained left foot (DTD)"
"16928",2016-12-23,"Lakers","","Tarik Black","sprained right ankle (DTD)"
"16929",2016-12-24,"Hornets","","Marco Belinelli","sprained left ankle (DTD)"
"16930",2016-12-25,"Lakers","","Ron Artest","placed on IL"
"16931",2016-12-25,"Spurs","","Bryn Forbes","placed on IL"
"16932",2016-12-25,"Spurs","","Nicolas Laprovittola","placed on IL"
"16933",2016-12-25,"Spurs"," Tony Parker","","returned to lineup"
"16934",2016-12-25,"Spurs","Manu Ginobili","","activated from IL"
"16935",2016-12-25,"Spurs","Pau Gasol","","activated from IL"
"16936",2016-12-26,"76ers","Nik Stauskas","","returned to lineup"
"16937",2016-12-26,"Blazers","","Damian Lillard","placed on IL with sprained left ankle"
"16938",2016-12-26,"Blazers","Evan Turner","","activated from IL"
"16939",2016-12-26,"Bucks","","Mirza Teletovic","concussion (DTD)"
"16940",2016-12-26,"Bucks","","Steve Novak","illness (DTD)"
"16941",2016-12-26,"Bucks","Michael Beasley","","returned to lineup"
"16942",2016-12-26,"Bulls","","Doug McDermott","placed on IL with bruised shin"
"16943",2016-12-26,"Bulls","Michael Carter-Williams","","activated from IL"
"16944",2016-12-26,"Cavaliers","","LeBron James","rest (DTD)"
"16945",2016-12-26,"Clippers","","J.J. Redick","sore left hamstring (DTD)"
"16946",2016-12-26,"Hawks","","Tim Hardaway Jr.","placed on IL"
"16947",2016-12-26,"Hawks","Dwight Howard","","activated from IL"
"16948",2016-12-26,"Hawks","Kyle Korver","","returned to lineup"
"16949",2016-12-26,"Kings","","Arron Afflalo","placed on IL with sprained right elbow"
"16950",2016-12-26,"Kings","Rudy Gay","","activated from IL"
"16951",2016-12-26,"Nets","","Chris McCullough","placed on IL"
"16952",2016-12-26,"Nets","","Spencer Dinwiddie","placed on IL"
"16953",2016-12-26,"Nets","Isaiah Whitehead","","activated from IL"
"16954",2016-12-26,"Nets","Trevor Booker","","activated from IL"
"16955",2016-12-26,"Pacers","Rodney Stuckey","","returned to lineup"
"16956",2016-12-26,"Pelicans","","Reggie Williams","placed on IL"
"16957",2016-12-26,"Pelicans","Terrence Jones","","activated from IL"
"16958",2016-12-26,"Pistons","","Boban Marjanovic","placed on IL"
"16959",2016-12-26,"Pistons","Michael Gbinije","","activated from IL"
"16960",2016-12-27,"76ers","","Gerald Henderson Jr.","sore left hip (DTD)"
"16961",2016-12-27,"Celtics","","James Young","placed on IL"
"16962",2016-12-27,"Celtics","Jordan Mickey","","activated from IL"
"16963",2016-12-27,"Grizzlies","","Chandler Parsons","rest (DTD)"
"16964",2016-12-27,"Grizzlies","","Mike Conley Jr.","left big toe injury (DTD)"
"16965",2016-12-27,"Heat","","Goran Dragic","back spasms (DTD)"
"16966",2016-12-27,"Heat","","Josh McRoberts","stress fracture in left foot (DTD)"
"16967",2016-12-27,"Heat","Rodney McGruder","","returned to lineup"
"16968",2016-12-27,"Heat","Wayne Ellington","","returned to lineup"
"16969",2016-12-27,"Knicks","","Courtney Lee","sore right wrist (DTD)"
"16970",2016-12-27,"Mavericks","Andrew Bogut","","activated from IL"
"16971",2016-12-27,"Nets","","Jeremy Lin","strained left hamstring (DTD)"
"16972",2016-12-27,"Pacers","","Rodney Stuckey","sore left hamstring (DTD)"
"16973",2016-12-27,"Rockets","","Patrick Beverley","bruised left quadricep (DTD)"
"16974",2016-12-27,"Rockets","Bobby Brown","","activated from IL"
"16975",2016-12-27,"Rockets","","Chinanu Onuaku","placed on IL"
"16976",2016-12-27,"Mavericks","","A.J. Hammons","placed on IL"
"16977",2016-12-28,"Bucks","Steve Novak","","returned to lineup"
"16978",2016-12-28,"Bulls","","Paul Zipser","placed on IL"
"16979",2016-12-28,"Bulls","Doug McDermott","","activated from IL"
"16980",2016-12-28,"Clippers","Chris Paul","","returned to lineup"
"16981",2016-12-28,"Hawks","Tim Hardaway Jr.","","activated from IL"
"16982",2016-12-28,"Kings","","Rudy Gay","placed on IL with strained right hip flexor"
"16983",2016-12-28,"Kings","Giorgios Papagiannis ","","activated from IL"
"16984",2016-12-28,"Knicks","","Courtney Lee","placed on IL with sore right wrist"
"16985",2016-12-28,"Knicks","Marshall Plumlee","","activated from IL"
"16986",2016-12-28,"Nets","","Jeremy Lin","placed on IL with strained left hamstring"
"16987",2016-12-28,"Nets","","Joe Harris","hip pointer (DTD)"
"16988",2016-12-28,"Nets","Spencer Dinwiddie","","activated from IL"
"16989",2016-12-28,"Pacers","","Rodney Stuckey","placed on IL with sore left hamstring"
"16990",2016-12-28,"Pacers","Monta Ellis","","activated from IL"
"16991",2016-12-28,"Pistons","","Michael Gbinije","placed on IL"
"16992",2016-12-28,"Pistons","Boban Marjanovic","","activated from IL"
"16993",2016-12-28,"Spurs","","Kawhi Leonard","gastroenteritis (DTD)"
"16994",2016-12-28,"Wizards","","Bradley Beal","right ankle injury (DTD)"
"16995",2016-12-28,"Wizards","","Daniel Ochefu","illness (DTD)"
"16996",2016-12-29,"76ers","","Joel Embiid","rest (DTD)"
"16997",2016-12-29,"Cavaliers","LeBron James","","returned to lineup"
"16998",2016-12-29,"Celtics","","Jordan Mickey","placed on IL"
"16999",2016-12-29,"Celtics","James Young","","activated from IL"
"17000",2016-12-29,"Grizzlies","","Troy Williams","placed on IL"
"17001",2016-12-29,"Grizzlies","Chandler Parsons","","returned to lineup"
"17002",2016-12-29,"Grizzlies","Wade Baldwin IV","","activated from IL"
"17003",2016-12-29,"Heat","Goran Dragic","","returned to lineup"
"17004",2016-12-29,"Jazz","","Dante Exum","placed on IL with patellar tendinitis in left knee"
"17005",2016-12-29,"Jazz","George Hill","","activated from IL"
"17006",2016-12-29,"Lakers","Ron Artest","","activated from IL"
"17007",2016-12-29,"Mavericks","","Dirk Nowitzki","placed on IL with illness"
"17008",2016-12-29,"Mavericks","A.J. Hammons","","activated from IL"
"17009",2016-12-29,"Raptors","","Patrick Patterson","strained left knee (DTD)"
"17010",2016-12-29,"Lakers","","Ivica Zubac","placed on IL"
"17011",2016-12-30,"76ers","","Jahlil Okafor","tightness in left hamstring (DTD)"
"17012",2016-12-30,"76ers","","Sergio Rodriguez","sprained left ankle (DTD)"
"17013",2016-12-30,"Bucks","","Matthew Dellavedova","strained right hamstring (DTD)"
"17014",2016-12-30,"Bucks","Mirza Teletovic","","returned to lineup"
"17015",2016-12-30,"Celtics","","Avery Bradley","illness (DTD)"
"17016",2016-12-30,"Clippers","","Chris Paul","sore left hamstring (DTD)"
"17017",2016-12-30,"Clippers","J.J. Redick","","returned to lineup"
"17018",2016-12-30,"Heat","","Goran Dragic","back spasms (DTD)"
"17019",2016-12-30,"Mavericks","","Andrew Bogut","placed on IL for rest"
"17020",2016-12-30,"Mavericks","Dirk Nowitzki","","activated from IL"
"17021",2016-12-30,"Pistons","","Marcus Morris","sore left knee (DTD)"
"17022",2016-12-30,"Rockets","Patrick Beverley","","returned to lineup"
"17023",2016-12-30,"Warriors","","Anderson Varejao","placed on IL"
"17024",2016-12-30,"Warriors","James McAdoo ","","activated from IL"
"17025",2016-12-30,"Wizards","Daniel Ochefu","","returned to lineup"
"17026",2016-12-30,"Knicks","","Marshall Plumlee","placed on IL"
"17027",2016-12-30,"Knicks","","Ron Baker","placed on IL"
"17028",2016-12-30,"Knicks","Courtney Lee","","activated from IL"
"17029",2016-12-30,"Knicks","Maurice N'dour","","activated from IL"
"17030",2016-12-30,"Knicks","","Courtney Lee","sore right wrist (DTD)"
"17031",2016-12-30,"Knicks","","Maurice N'dour","sprained right ankle (DTD)"
"17032",2016-12-30,"Warriors","","Patrick McCaw","placed on IL with flu"
"17033",2016-12-30,"Warriors","Damian Jones","","activated from IL"
"17034",2016-12-31,"Bucks","","Miles Plumlee","sprained right index finger (DTD)"
"17035",2016-12-31,"Cavaliers","","Kyrie Irving","tightness in right hamstring (DTD)"
"17036",2016-12-31,"Cavaliers","","Mike Dunleavy Jr.","sprained right ankle (DTD)"
"17037",2016-12-31,"Grizzlies","Mike Conley Jr.","","returned to lineup"
"17038",2016-12-31,"Hornets","","Marco Belinelli","placed on IL with sprained left ankle"
"17039",2016-12-31,"Knicks","","Kristaps Porzingis","placed on IL with sore left Achilles"
"17040",2016-12-31,"Knicks","","Kyle O'Quinn","placed on IL with flu"
"17041",2016-12-31,"Knicks","Maurice N'dour","","returned to lineup"
"17042",2016-12-31,"Magic","","Damjan Rudez","strained right calf (DTD)"
"17043",2016-12-31,"Rockets","","Patrick Beverley","sore right wrist (DTD)"
"17044",2016-12-31,"Thunder","","Josh Huestis","placed on IL"
"17045",2016-12-31,"Thunder","Victor Oladipo","","activated from IL"
"17046",2016-12-31,"Hornets","Aaron Harrison","","activated from IL"
"17047",2016-12-31,"Knicks","Marshall Plumlee","","activated from IL"
"17048",2016-12-31,"Knicks","Ron Baker","","activated from IL"
"17049",2017-01-01,"Hawks","","Taurean Prince","placed on IL"
"17050",2017-01-01,"Heat","","Hassan Whiteside","right eye injury (DTD)"
"17051",2017-01-01,"Heat","","Justise Winslow","torn labrum in right shoulder (out for season)"
"17052",2017-01-01,"Jazz","","George Hill","placed on IL"
"17053",2017-01-01,"Kings","","Ty Lawson","sinus fracture (DTD)"
"17054",2017-01-01,"Lakers","","Ron Artest","placed on IL"
"17055",2017-01-01,"Lakers","Ivica Zubac","","activated from IL"
"17056",2017-01-01,"Magic","","Stephen Zimmerman Jr.","placed on IL"
"17057",2017-01-01,"Magic","Arinze Onuaku","","""activated"""
"17058",2017-01-01,"Pistons","","Aron Baynes","sprained left ankle (DTD)"
"17059",2017-01-01,"Pistons","Marcus Morris","","returned to lineup"
"17060",2017-01-01,"Spurs","Kawhi Leonard","","returned to lineup"
"17061",2017-01-02,"Bulls","","Dwyane Wade","placed on IL with swelling in knee"
"17062",2017-01-02,"Bulls","Paul Zipser","","activated from IL"
"17063",2017-01-02,"Celtics","","Tyler Zeller","sinus ailment (DTD)"
"17064",2017-01-02,"Hornets","","Cody Zeller","placed on IL with concussion (DTD)"
"17065",2017-01-02,"Hornets","Christian Wood","","activated from IL"
"17066",2017-01-02,"Jazz","Alec Burks","","activated from IL"
"17067",2017-01-02,"Knicks","","Marshall Plumlee","placed on IL"
"17068",2017-01-02,"Knicks","Courtney Lee","","returned to lineup"
"17069",2017-01-02,"Knicks","Kyle O'Quinn","","activated from IL"
"17070",2017-01-02,"Magic","Damjan Rudez","","returned to lineup"
"17071",2017-01-02,"Nets","Joe Harris","","returned to lineup"
"17072",2017-01-02,"Nuggets","","Darrell Arthur","placed on IL with sore left knee"
"17073",2017-01-02,"Nuggets","","Kenneth Faried","placed on IL with sore lower back"
"17074",2017-01-02,"Nuggets","Alonzo Gee","","activated from IL"
"17075",2017-01-02,"Nuggets","Malik Beasley","","activated from IL"
"17076",2017-01-02,"Warriors","","Damian Jones","placed on IL"
"17077",2017-01-02,"Warriors","","JaVale McGee","illness (DTD)"
"17078",2017-01-02,"Warriors","Anderson Varejao","","activated from IL"
"17079",2017-01-02,"Wizards","Bradley Beal","","returned to lineup"
"17080",2017-01-02,"Jazz","","Joel Bolomboy","placed on IL"
"17081",2017-01-03,"76ers","Jahlil Okafor","","returned to lineup"
"17082",2017-01-03,"Bulls","","Denzel Valentine","sore/sprained left ankle (DTD)"
"17083",2017-01-03,"Celtics","","James Young","placed on IL with sprained right ankle"
"17084",2017-01-03,"Celtics","","Tyler Zeller","placed on IL with illness"
"17085",2017-01-03,"Celtics","Avery Bradley","","returned to lineup"
"17086",2017-01-03,"Celtics","Demetrius Jackson","","activated from IL"
"17087",2017-01-03,"Celtics","Jordan Mickey","","activated from IL"
"17088",2017-01-03,"Heat","","James Johnson","illness (DTD)"
"17089",2017-01-03,"Heat","","Tyler Johnson","migraine headache (DTD)"
"17090",2017-01-03,"Heat","Goran Dragic","","returned to lineup"
"17091",2017-01-03,"Kings","","Giorgios Papagiannis ","placed on IL"
"17092",2017-01-03,"Kings","","Skal Labissiere","placed on IL"
"17093",2017-01-03,"Kings","Arron Afflalo","","activated from IL"
"17094",2017-01-03,"Mavericks","","A.J. Hammons","placed on IL"
"17095",2017-01-03,"Mavericks","Andrew Bogut","","activated from IL"
"17096",2017-01-03,"Nuggets","","Alonzo Gee","placed on IL"
"17097",2017-01-03,"Nuggets","Darrell Arthur","","activated from IL"
"17098",2017-01-03,"Pelicans","","Quincy Pondexter","arthroscopic surgery on left knee (out for season)"
"17099",2017-01-03,"Pistons","","Michael Gbinije","left forearm injury (DTD)"
"17100",2017-01-03,"Suns","","Brandon Knight","sprained right wrist / migraine headache (DTD)"
"17101",2017-01-03,"Kings","Rudy Gay","","activated from IL"
"17102",2017-01-03,"Kings","","Rudy Gay","strained right hip flexor (DTD)"
"17103",2017-01-04,"Bucks","Miles Plumlee","","returned to lineup"
"17104",2017-01-04,"Bulls","","Denzel Valentine","placed on IL with sore/sprained left ankle"
"17105",2017-01-04,"Bulls","Dwyane Wade","","activated from IL"
"17106",2017-01-04,"Cavaliers","","Kevin Love","illness (DTD)"
"17107",2017-01-04,"Cavaliers","Mike Dunleavy Jr.","","returned to lineup"
"17108",2017-01-04,"Grizzlies","","JaMychal Green","fractured facial bone (DTD)"
"17109",2017-01-04,"Heat","","Josh McRoberts","placed on IL with stress fracture in left foot"
"17110",2017-01-04,"Heat","Dion Waiters","","activated from IL"
"17111",2017-01-04,"Heat","James Johnson","","returned to lineup"
"17112",2017-01-04,"Heat","Tyler Johnson","","returned to lineup"
"17113",2017-01-04,"Hornets","Marco Belinelli","","activated from IL"
"17114",2017-01-04,"Kings","Ty Lawson","","returned to lineup"
"17115",2017-01-04,"Knicks","Marshall Plumlee","","activated from IL"
"17116",2017-01-04,"Magic","Evan Fournier","","activated from IL"
"17117",2017-01-04,"Nets","","Rondae Hollis-Jefferson","right hip tendinitis (DTD)"
"17118",2017-01-04,"Warriors","","James McAdoo ","placed on IL"
"17119",2017-01-04,"Warriors","Patrick McCaw","","activated from IL"
"17120",2017-01-04,"76ers","Richaun Holmes","","returned to lineup"
"17121",2017-01-04,"Grizzlies","Troy Williams","","activated from IL"
"17122",2017-01-04,"Knicks","","Maurice N'dour","placed on IL"
"17123",2017-01-04,"Magic","","C.J. Wilcox","placed on IL"
"17124",2017-01-05,"Blazers","","Tim Quarterman","placed on IL"
"17125",2017-01-05,"Blazers","Damian Lillard","","activated from IL"
"17126",2017-01-05,"Bucks","","Michael Beasley","placed on IL"
"17127",2017-01-05,"Heat","","Justise Winslow","surgery on right shoulder to repair torn labrum (out for season)"
"17128",2017-01-05,"Jazz","","George Hill","placed on IL with concussion"
"17129",2017-01-05,"Jazz","Dante Exum","","activated from IL"
"17130",2017-01-05,"Lakers","","Ivica Zubac","placed on IL"
"17131",2017-01-05,"Lakers","","Luol Deng","right biceps tendinitis (DTD)"
"17132",2017-01-05,"Lakers","Ron Artest","","activated from IL"
"17133",2017-01-05,"Nuggets","","Juan Hernangomez","placed on IL"
"17134",2017-01-05,"Nuggets","Alonzo Gee","","activated from IL"
"17135",2017-01-05,"Pacers","Rakeem Christmas","","activated from IL"
"17136",2017-01-05,"Pelicans","","Donatas Motiejunas","placed on IL"
"17137",2017-01-05,"Rockets","","Bobby Brown","placed on IL"
"17138",2017-01-05,"Rockets","Patrick Beverley","","returned to lineup"
"17139",2017-01-05,"Suns","Brandon Knight","","returned to lineup"
"17140",2017-01-05,"Nuggets","Kenneth Faried","","activated from IL"
"17141",2017-01-05,"Pacers","","Georges Niang","placed on IL"
"17142",2017-01-05,"Nuggets","","Kenneth Faried","sore lower back (DTD)"
"17143",2017-01-05,"Rockets","Chinanu Onuaku","","activated from IL"
"17144",2017-01-06,"76ers","Gerald Henderson Jr.","","returned to lineup"
"17145",2017-01-06,"Bucks","","Miles Plumlee","finger injury (DTD)"
"17146",2017-01-06,"Cavaliers","","J.R. Smith","placed on IL recovering from surgery on right thumb to repair fracture"
"17147",2017-01-06,"Cavaliers","Kevin Love","","returned to lineup"
"17148",2017-01-06,"Cavaliers","Kyrie Irving","","returned to lineup"
"17149",2017-01-06,"Celtics","","Jordan Mickey","illness (DTD)"
"17150",2017-01-06,"Clippers","Chris Paul","","returned to lineup"
"17151",2017-01-06,"Grizzlies","JaMychal Green","","returned to lineup"
"17152",2017-01-06,"Hornets","","Nicolas Batum","hyperextended/strained right knee (DTD)"
"17153",2017-01-06,"Kings","Rudy Gay","","returned to lineup"
"17154",2017-01-06,"Knicks","Kristaps Porzingis","","activated from IL"
"17155",2017-01-06,"Lakers","Luol Deng","","returned to lineup"
"17156",2017-01-06,"Nets","Rondae Hollis-Jefferson","","returned to lineup"
"17157",2017-01-06,"Nuggets","","Nikola Jokic","illness (DTD)"
"17158",2017-01-06,"Timberwolves","","Shabazz Muhammad","placed on IL with illness"
"17159",2017-01-06,"Timberwolves","John Lucas III","","activated from IL"
"17160",2017-01-06,"Warriors","","Damian Jones","placed on IL"
"17161",2017-01-06,"Warriors","Anderson Varejao","","activated from IL"
"17162",2017-01-06,"Knicks","","Marshall Plumlee","placed on IL"
"17163",2017-01-07,"Bulls","","Paul Zipser","placed on IL"
"17164",2017-01-07,"Bulls","Denzel Valentine","","activated from IL"
"17165",2017-01-07,"Celtics","","Avery Bradley","placed on IL with Achilles injury / sprained ankle / illness"
"17166",2017-01-07,"Celtics","","James Young","placed on IL"
"17167",2017-01-07,"Hawks","Taurean Prince","","activated from IL"
"17168",2017-01-07,"Heat","","Josh Richardson","sprained left foot (DTD)"
"17169",2017-01-07,"Hornets","","Christian Wood","placed on IL"
